"","variable","summ","modelName"
"66","ALTER_TYPE_XSocial Work","-0.29 (-1.21, 0.75)","M6"
"67","ALTER_TYPE_XSupplier","-0.39 (-1.09, 0.33)","M6"
"68","EGO_ID","0.75 (0.33, 1.18)","M6"
"69","ALTER_ID_1","0.07 (0, 0.26)","M6"
"70","units","1 (1, 1)","M6"
"71","(Intercept)","1.55 (0.78, 2.41)","M7"
"72","EGO_AREA_IDArea 2","0.6 (-0.11, 1.38)","M7"
"73","EGO_AREA_IDArea 3","1.18 (0.57, 1.82)","M7"
"74","EGO_AREA_IDArea 4","-0.21 (-1.18, 0.66)","M7"
"75","EGO_AREA_IDArea 5","0.85 (0.08, 1.64)","M7"
"76","ALTER_TYPE_XExercise","-0.48 (-1.16, 0.21)","M7"
"77","ALTER_TYPE_XFamily/Friends","-0.54 (-1.16, 0.19)","M7"
"78","ALTER_TYPE_XFood","-0.34 (-1.01, 0.33)","M7"
"79","ALTER_TYPE_XGP Health","-0.1 (-0.85, 0.68)","M7"
"80","ALTER_TYPE_XIEP","0.85 (-0.64, 2.25)","M7"
"81","ALTER_TYPE_XMental Health","-0.51 (-1.27, 0.21)","M7"
"82","ALTER_TYPE_XPeer Support","0.83 (-0.07, 1.67)","M7"
"83","ALTER_TYPE_XPharmacy","1.19 (0.5, 1.9)","M7"
"84","ALTER_TYPE_XSocial Work","-0.08 (-1.12, 1)","M7"
"85","ALTER_TYPE_XSupplier","-0.21 (-1.03, 0.65)","M7"
"86","ALTER_ID_1_DEGREE","0.03 (-0.04, 0.1)","M7"
"87","EGO_ID","0.74 (0.36, 1.18)","M7"
"88","ALTER_ID_1","0.08 (0, 0.32)","M7"
"89","units","1 (1, 1)","M7"
